央视,#genre#
CHC动作电影,http://migu.z529.com/migu/644368714.m3u8?migutoken=eeada42000f36c225ca3e02b658631383f76c8a161cc5a215742409767be1f464fb476af54beaf241a94b51575d5d3375fa211ef60776412603c7f24274ea47b92332a357e10b58ce972de4e04
卫视,#genre#
东方卫视,http://migu.z529.com/migu/651632648.m3u8?migutoken=5b742f3f78fc2f6ee09574a6f40778c071e2f1ff1574da6ff8b5cd6822e6a1033162cf7fa56d92cb7beb89528a38cb43dbeafbede7627491a138693cb590d0963a8f59fe4417da94ed6f6d2be8
江苏卫视,http://migu.z529.com/migu/623899368.m3u8?migutoken=4731c5590770aa8c8dc78de2e480f038b699f5f9f5ff086954a2d9b68caf4e47e30905f207ba2a9bc9282f1f88f716a0c67ea21b4bf172a560b5242cc343bb88ca7a9d5288b19960e3ccf09a11
广东卫视,http://migu.z529.com/migu/608831231.m3u8?migutoken=1f49276ea87ee3b461db9011b51777ce9a590d7711cdc53e42f0df9364b29fb20043a955587220ba84ea4821838b4609e9d68585350de5d2870539c5f385f78b75bc5344b5f5fd4fdb2931b70c
江西卫视,http://migu.z529.com/migu/783847495.m3u8?migutoken=aaef541c70e625a8ef8ce480354f8521e68c6c46438eabab28cc34ef0680ef582f6df6363f28f3a2b5320ace702c3afe605787c2f046308897a4de118c8ffabb4fa4d11fcd7e6f8d984231eaea
河南卫视,http://migu.z529.com/migu/790187291.m3u8?migutoken=6238c82f1ae1301e07d1650675d22cfc615a0e62228890b224083f8269175290af719e975c6fd725d9b882713501f289ebd647561b18a812997ae4458864baf260e3d69085fd155882337a0908
陕西卫视,http://migu.z529.com/migu/738910838.m3u8?migutoken=7fc8042b0ce61f68ed42c60a928bd2d9bf20f715e2607b64eb17f8d5ed1dfa02ddfbe4aaad6e21b860bf5dc7c4b07590762f8b8c12c9923ded12d4e4485d705ff81f4ef2bc7bb438b3d01346ef
大湾区卫视,http://migu.z529.com/migu/608917627.m3u8?migutoken=65b2fdcbae3eac67846ec98fde75e71b0e6e9a98494ede1bded17b174a6864cc854a0a4999d38239d9f3bcc189d5fa252c828509ec000504df32916b7e9629a91baca22d7b4796ca8977437bc0
湖北卫视,http://migu.z529.com/migu/947472496.m3u8?migutoken=48a2332792514f777c58caf46e9e974be2d165b5524834bf019725c41cb770a9f9a7703fdde4702c198e159f29f3c6a6246bf8576f9c29be1bb191df2f84360312e097456574fbcec5f00414c5
吉林卫视,http://migu.z529.com/migu/947472500.m3u8?migutoken=77e4fad5dc067a2e67f496321341b4b3a0e9b2391515ede44d3ebeedcc5e1a4492558665ec4db064469326e518d3931dd46434c0c3215c881a974c201242f7bebfdfab7d92341684e9369f62ad
青海卫视,http://migu.z529.com/migu/947472506.m3u8?migutoken=2432f5d47338f93ec44601f5c46f9be868ebd9ed30e29b65ecd990b6aa1efc341773749048a08e9bd52c7b24e4ed907136f12d0ffcaf8c8eabc7f1e161b6cb2bfdc29a2ac1ca5ce390b0e95561
东南卫视,http://migu.z529.com/migu/849116810.m3u8?migutoken=77dfeaaef3dbf8980f0c617f0a88bf379ecbdeaf60635199da47c027486c862f32ca475b32b85fd4662854fc190c2fb868e83022d2460a6b90941c29f8297ddb3dc170854abb3986d060d7985d
海南卫视,http://migu.z529.com/migu/947472502.m3u8?migutoken=050970951c588cc94681f502ca6b81717f9d50042bed71b6d1be900218e4d1cefb8ff62c39503f345efa63720c27b5d9ab80519e6b38fefe07be01c81d022a08dd5e98177f4e0d6436dcbb1596
海峡卫视,http://migu.z529.com/migu/849119120.m3u8?migutoken=fa9336e418638f9e24354e4758529331c1937050fc439a053afd366fbc5155ffade41cd3af12f182b142b61fbc0d562a37e3a59322c703b0e41231efc43e70144a99308639f3eb137a7bf4bc4a
CETV1,http://migu.z529.com/migu/923287154.m3u8?migutoken=def1f23de0aaac86d0cd42f501781d0fd5ac5e2c0a644f0bef88cf81bf664672df8ef3210f5f436784b63deb45679185e8c31b5f4985169d47fb7c5f2a7a52147b9430de517020fd7751def5e7
CETV2,http://migu.z529.com/migu/923287211.m3u8?migutoken=9b28f59e20931b8065e4ed81e8132964a26de3b73f7ea42f3a5ac36ca10df8699a569941d628666f57cc68bd9c94f0b8a20a5384c5b2a9e47e81cb4f7ad00650ccbeff2627d3ef402d76e13f69
CETV4,http://migu.z529.com/migu/923287339.m3u8?migutoken=f8ccb6a1c3a28f5bcc6d926b2568ebb8c11dd8820a1ab9217c2908686a18a7a157b07a28cb28e1fdfd878e196c52559b616c6434295061042a4c0a0c91b5c9ca9716a2ff2c7eb88cf0db72d387
